disease,symptom
carbon monoxide poisoning,dull headache
carbon monoxide poisoning,weakness
carbon monoxide poisoning,dizziness
carbon monoxide poisoning,nausea or vomiting
carbon monoxide poisoning,shortness of breath
carbon monoxide poisoning,confusion
carbon monoxide poisoning,blurred vision
carbon monoxide poisoning,loss of consciousness
clubfoot,"the top of the foot is usually twisted downward and inward, increasing the arch and turning the heel inward."
clubfoot,the foot may be turned so severely that it actually looks as if it's upside down.
clubfoot,the affected leg or foot may be slightly shorter.
clubfoot,the calf muscles in the affected leg are usually underdeveloped.
adult attention-deficit/hyperactivity disorder (adhd),impulsiveness
adult attention-deficit/hyperactivity disorder (adhd),disorganization and problems prioritizing
adult attention-deficit/hyperactivity disorder (adhd),poor time management skills
adult attention-deficit/hyperactivity disorder (adhd),problems focusing on a task
adult attention-deficit/hyperactivity disorder (adhd),trouble multitasking
adult attention-deficit/hyperactivity disorder (adhd),excessive activity or restlessness
adult attention-deficit/hyperactivity disorder (adhd),poor planning
adult attention-deficit/hyperactivity disorder (adhd),low frustration tolerance
adult attention-deficit/hyperactivity disorder (adhd),frequent mood swings
adult attention-deficit/hyperactivity disorder (adhd),problems following through and completing tasks
adult attention-deficit/hyperactivity disorder (adhd),hot temper
adult attention-deficit/hyperactivity disorder (adhd),trouble coping with stress
hypercalcemia,kidneys. excess calcium makes your kidneys work harder to filter it. this can cause excessive thirst and frequent urination.
hypercalcemia,"digestive system. hypercalcemia can cause stomach upset, nausea, vomiting and constipation."
hypercalcemia,"bones and muscles. in most cases, the excess calcium in your blood was leached from your bones, which weakens them. this can cause bone pain and muscle weakness."
hypercalcemia,"brain. hypercalcemia can interfere with how your brain works, resulting in confusion, lethargy and fatigue. it can also cause depression."
hypercalcemia,"heart. rarely, severe hypercalcemia can interfere with your heart function, causing palpitations and fainting, indications of cardiac arrhythmia, and other heart problems."
swollen knee,"swelling. the skin around your kneecap can puff up noticeably, especially when you compare the affected knee to the normal one."
swollen knee,"stiffness. when your knee joint contains excess fluid, you might not be able to bend or straighten your leg completely."
swollen knee,"pain. depending on the cause of the fluid buildup, the knee might be very painful — to the point that it's difficult or impossible to bear weight on it."
hypoparathyroidism,"tingling or burning in your fingertips, toes and lips"
hypoparathyroidism,"muscle aches or cramps in your legs, feet, stomach or face"
hypoparathyroidism,"twitching or spasms of your muscles, particularly around your mouth, but also in your hands, arms and throat"
hypoparathyroidism,fatigue or weakness
hypoparathyroidism,painful menstrual periods
hypoparathyroidism,patchy hair loss
hypoparathyroidism,"dry, coarse skin"
hypoparathyroidism,brittle nails
hypoparathyroidism,depression or anxiety
complex regional pain syndrome,"continuous burning or throbbing pain, usually in your arm, leg, hand or foot"
complex regional pain syndrome,sensitivity to touch or cold
complex regional pain syndrome,swelling of the painful area
complex regional pain syndrome,changes in skin temperature — alternating between sweaty and cold
complex regional pain syndrome,"changes in skin color, ranging from white and blotchy to red or blue"
complex regional pain syndrome,"changes in skin texture, which may become tender, thin or shiny in the affected area"
complex regional pain syndrome,changes in hair and nail growth
complex regional pain syndrome,"joint stiffness, swelling and damage"
complex regional pain syndrome,"muscle spasms, tremors, weakness and loss (atrophy)"
complex regional pain syndrome,decreased ability to move the affected body part
type 1 diabetes,increased thirst
type 1 diabetes,frequent urination
type 1 diabetes,bed-wetting in children who previously didn't wet the bed during the night
type 1 diabetes,extreme hunger
type 1 diabetes,unintended weight loss
type 1 diabetes,irritability and other mood changes
type 1 diabetes,fatigue and weakness
type 1 diabetes,blurred vision
reactive arthritis,"pain and stiffness. the joint pain associated with reactive arthritis most commonly occurs in your knees, ankles and feet. you also might have pain in your heels, low back or buttocks."
reactive arthritis,eye inflammation. many people who have reactive arthritis also develop eye inflammation (conjunctivitis).
reactive arthritis,"urinary problems. increased frequency and discomfort during urination may occur, as can inflammation of the prostate gland or cervix."
reactive arthritis,"inflammation of soft tissue where it enters bone (enthesitis). this might include muscles, tendons and ligaments."
reactive arthritis,"swollen toes or fingers. in some cases, your toes or fingers might become so swollen that they resemble sausages."
reactive arthritis,"skin problems. reactive arthritis can affect your skin a variety of ways, including a rash on your soles and palms and mouth sores."
reactive arthritis,low back pain. the pain tends to be worse at night or in the morning.
spinal cord injury,"complete. if all feeling (sensory) and all ability to control movement (motor function) are lost below the spinal cord injury, your injury is called complete."
spinal cord injury,"incomplete. if you have some motor or sensory function below the affected area, your injury is called incomplete. there are varying degrees of incomplete injury."
spinal cord injury,"tetraplegia. also known as quadriplegia, this means that your arms, hands, trunk, legs and pelvic organs are all affected by your spinal cord injury."
